Date,Open,High,Low,Close,Volume
3/12/2021,275,295.5,262.27,264.5,"25,845,900"
3/11/2021,241.64,281.5,232.6,260,"28,312,490"
3/10/2021,269.43,348.5,172,265,"71,570,570"
3/9/2021,217.71,249.85,208.51,246.9,"39,099,328"
3/8/2021,154.89,210.87,146.1,194.5,"63,565,621"
3/5/2021,128.17,151.53,127.5,137.74,"30,733,670"
3/4/2021,125,147.87,115.3,132.35,"32,606,891"
3/3/2021,122.51,127.75,113.12,124.18,"19,273,881"
3/2/2021,116.93,133.2,112.2,118.18,"33,783,039"
3/1/2021,104.54,133.99,99.97,120.4,"49,793,969"
2/26/2021,117.46,142.9,86,101.74,"92,194,148"
2/25/2021,169.56,184.68,101,108.73,"150,308,797"
2/24/2021,44.7,91.71,44.7,91.71,"83,111,742"
2/23/2021,44.97,46.23,40,44.97,"7,565,215"
2/22/2021,46.69,48.51,42.4,46,"19,476,020"
2/19/2021,41.28,43.89,38.5,40.59,"14,828,240"
2/18/2021,48.49,48.87,40.65,40.69,"23,990,561"
2/17/2021,49.77,51.19,44.56,45.94,"9,260,795"
2/16/2021,52.66,53.5,49.04,49.51,"8,175,030"
2/12/2021,50.75,55.24,48.05,52.4,"14,573,260"
2/11/2021,50.01,55.32,48.22,51.1,"13,056,730"
2/10/2021,50.77,62.83,46.55,51.2,"36,455,039"
2/9/2021,56.61,57,46.52,50.31,"26,843,080"
2/8/2021,72.41,72.66,58.02,60,"25,687,279"
2/5/2021,54.04,95,51.09,63.77,"81,345,008"
2/4/2021,91.19,91.5,53.33,53.5,"62,427,281"
2/3/2021,112.01,113.4,85.25,92.41,"42,698,512"
2/2/2021,140.76,158,74.22,90,"78,183,070"
2/1/2021,316.56,322,212,225,"37,382,152"
1/29/2021,379.71,413.98,250,325,"50,566,059"
1/28/2021,265,483,112.25,193.6,"58,815,809"
1/27/2021,354.83,380,249,347.51,"93,396,672"
1/26/2021,88.56,150,80.2,147.98,"178,588,000"
1/25/2021,96.73,159.18,61.13,76.79,"177,874,000"
1/22/2021,42.59,76.76,42.32,65.01,"197,157,906"
1/21/2021,39.23,44.75,37,43.03,"57,079,754"
1/20/2021,37.37,41.19,36.06,39.12,"33,471,789"
1/19/2021,41.55,45.52,36.64,39.36,"74,721,922"
1/15/2021,38.49,40.75,34.01,35.5,"46,866,359"
1/14/2021,38.09,43.06,33.05,39.91,"93,717,406"
1/13/2021,20.42,38.65,20.03,31.4,"144,501,703"
1/12/2021,19.96,20.4,19.32,19.95,"7,060,665"
1/11/2021,19.41,20.65,19.01,19.94,"14,927,610"
1/8/2021,18.18,18.3,17.08,17.69,"6,481,960"
1/7/2021,18.47,19.45,18.02,18.08,"6,129,276"
1/6/2021,17.34,18.98,17.33,18.36,"6,056,248"
1/5/2021,17.35,18.08,17.23,17.37,"4,961,457"
1/4/2021,19,19.1,17.15,17.25,"10,022,470"
12/31/2020,19.25,19.8,18.8,18.84,"6,922,652"
12/30/2020,19.38,20,18.85,19.26,"5,934,391"
12/29/2020,20.82,21.07,18.56,19.38,"9,241,441"
12/28/2020,21.31,21.97,20.35,20.99,"8,965,858"
12/24/2020,21.01,21.48,19.95,20.15,"6,262,174"
12/23/2020,20.17,22.35,19.13,20.57,"25,830,260"
12/22/2020,16.22,20.04,16.15,19.46,"30,687,721"
12/21/2020,15.81,16.35,15.28,15.53,"9,876,128"
12/18/2020,15.78,16.3,15.18,15.63,"16,618,779"
12/17/2020,13.96,14.98,13.59,14.83,"8,194,902"
12/16/2020,13.96,14.31,13.58,13.85,"5,865,123"
12/15/2020,12.78,14.02,12.48,13.85,"8,192,856"
12/14/2020,13.34,13.43,12.14,12.72,"10,007,090"
12/11/2020,13.91,14,13.02,13.31,"7,496,868"
12/10/2020,13.12,14.41,13.05,14.12,"7,558,922"
12/9/2020,13.92,14.73,13.23,13.66,"24,357,939"
12/8/2020,16.37,17.21,15.93,16.94,"16,120,160"
12/7/2020,17,17.5,16.22,16.35,"7,386,258"
12/4/2020,16.3,17.29,16.26,16.9,"8,972,672"
12/3/2020,16.48,16.64,15.87,16.12,"6,294,965"
12/2/2020,15.7,16.68,15.38,16.58,"7,883,380"
12/1/2020,17.11,17.4,15.76,15.8,"12,666,030"
11/30/2020,18.17,19.42,16.56,16.56,"31,983,500"
11/27/2020,15.29,16.74,14.88,16.08,"12,504,200"
11/25/2020,13.6,15.25,13.42,14.75,"8,860,092"
11/24/2020,14.23,14.26,13.3,13.67,"7,186,710"
11/23/2020,12.9,14.12,12.67,13.9,"9,607,973"
11/20/2020,12.55,13.46,12.54,12.71,"8,402,347"
11/19/2020,11.6,12.79,11.45,12.46,"11,787,610"
11/18/2020,11.8,12.04,11.56,11.57,"3,169,222"
11/17/2020,11.65,11.92,11.23,11.63,"6,678,176"
11/16/2020,11.16,12.66,10.72,12.06,"9,774,824"
11/13/2020,11.36,11.55,11,11.01,"3,546,171"
11/12/2020,11.74,11.87,10.97,11.13,"4,355,892"
11/11/2020,11.5,11.95,11.21,11.75,"4,882,569"
11/10/2020,11.5,11.66,10.83,11.1,"3,825,963"
11/9/2020,12.76,12.93,11.25,11.49,"6,244,865"
11/6/2020,11.52,12.17,11.32,11.86,"5,518,243"
11/5/2020,11.27,11.84,11.06,11.45,"4,705,245"
11/4/2020,11.76,11.77,10.61,10.91,"5,807,871"
11/3/2020,10.75,11.86,10.63,11.57,"7,454,472"
11/2/2020,10.82,11.09,10.5,10.75,"5,227,011"
10/30/2020,11.64,11.64,10.36,10.47,"11,562,370"
10/29/2020,11.88,12.25,11.68,11.73,"4,165,843"
10/28/2020,12.27,13.05,11.78,11.82,"6,388,580"
10/27/2020,13.71,13.71,12.36,12.69,"7,231,006"
10/26/2020,14.93,15.45,13.26,13.45,"13,376,270"
10/23/2020,15.05,15.38,14.55,15,"6,507,324"
10/22/2020,14.2,15.87,14.19,14.91,"16,212,230"
10/21/2020,13.9,14.42,13.8,14.1,"5,361,928"
10/20/2020,14.03,14.14,13.67,13.86,"6,603,951"
10/19/2020,13.44,14.5,13.38,13.91,"13,169,070"
